time,Ph_Sensor,ORP_Sensor,CT_Sensor,TDS_Sensor,NH_Sensor,DO_Sensor,TR_Sensor,BOD_Sensor,COD_Sensor,
2025-02-27 12:09:33.971	,8.033,0.9718,0.0180,-0.1468,5.166,6.986,37.908,1419.739,567.895
2025-02-27 12:39:33.971	,8.005,0.9718,0.0191,-0.1458,5.146,7.005,32.883,1396.018,558.407
2025-02-27 13:09:33.971	,8.024,0.9718,0.0225,-0.1442,5.091,7.005,38.061,1389.810,555.924
2025-02-27 13:39:33.971	,8.001,0.9718,0.0233,-0.1434,5.157,6.974,34.245,1410.567,564.227
2025-02-27 14:09:33.971	,8.015,0.9718,0.0228,-0.1441,5.131,6.977,36.984,1407.547,563.019
2025-02-27 14:39:33.971	,8.069,0.9718,0.0236,-0.1422,5.122,6.991,44.677,1396.388,558.555
2025-02-27 15:09:33.971	,7.983,0.9718,0.0221,-0.1437,5.081,6.977,44.344,1393.574,557.430
2025-02-27 15:39:33.971	,8.056,0.9718,0.0221,-0.1455,5.104,6.971,43.494,1384.399,553.759
2025-02-27 16:09:33.971	,8.026,0.9718,0.0220,-0.1439,5.154,6.986,39.099,1383.369,553.348
2025-02-27 16:39:33.971	,8.003,0.9718,0.0213,-0.1441,5.170,7.003,45.107,1411.256,564.502
2025-02-27 17:09:33.971	,7.963,0.9718,0.0218,-0.1434,8.154,6.976,48.324,1377.042,550.817
2025-02-27 17:39:33.971	,8.047,0.9718,,-0.1435,5.319,6.936,42.205,1406.400,562.560
2025-02-27 18:09:33.971	,8.009,0.9718,0.0239,-0.1430,5.374,6.941,44.340,1408.347,563.339
2025-02-27 18:39:33.971	,7.970,0.9718,0.0244,-0.1434,5.434,6.933,59.329,1384.551,553.820
2025-02-27 19:09:33.971	,8.002,0.9718,0.0275,,5.471,6.905,80.873,1391.609,556.643
2025-02-27 19:39:33.971	,7.951,0.9718,,-0.1418,5.477,6.899,74.990,1400.991,560.397
2025-02-27 20:09:33.971	,7.928,0.9718,0.0254,-0.1416,5.502,6.903,73.930,1390.035,556.014
2025-02-28 09:44:51.014	,8.028,0.9718,0.0106,-0.1521,5.415,6.964,66.641,1399.772,559.909
2025-02-28 10:14:51.014	,8.034,0.9718,0.0121,-0.1523,5.306,7.006,63.139,1393.218,557.287
2025-02-28 10:44:51.014	,8.040,0.9718,0.0106,-0.1515,5.248,6.982,51.143,1391.656,556.663
2025-02-28 11:14:51.014	,8.028,0.9718,0.0120,-0.1509,5.166,7.008,57.111,1408.720,563.488
2025-02-28 11:44:51.014	,7.990,0.9718,0.0146,-0.1480,5.070,7.002,43.643,1400.124,560.050
2025-02-28 12:14:51.014	,8.030,0.9718,0.0142,-0.1493,5.056,7.006,46.377,1404.997,561.999
2025-02-28 12:44:51.014	,8.010,0.9718,0.0139,-0.1494,5.021,7.000,33.613,1400.041,560.016
2025-02-28 13:14:51.014	,8.045,0.9718,0.0175,-0.1480,5.025,7.013,44.332,1395.957,558.383
2025-02-28 13:44:51.014	,8.047,0.9718,0.0163,-0.1474,5.032,7.020,35.757,1386.909,554.764
2025-02-28 14:14:51.014	,7.990,0.9718,0.0197,-0.1494,5.003,7.019,39.833,1396.224,558.490
2025-02-28 14:44:51.014	,7.975,0.9718,0.0202,-0.1454,4.961,6.986,32.510,1378.954,551.581
2025-02-28 15:14:51.014	,7.960,0.9718,0.0222,-0.1445,4.967,6.978,36.046,1410.286,564.114
2025-02-28 15:44:51.014	,7.973,0.9718,0.0204,-0.1445,4.967,6.985,37.479,1396.512,558.605
2025-02-28 16:14:51.014	,8.005,0.9718,0.0225,-0.1460,4.949,6.980,27.111,1393.378,557.351
2025-02-28 16:44:51.014	,8.027,0.9718,0.0216,-0.1448,4.983,6.969,31.090,1396.902,558.761
2025-02-28 17:14:51.014	,7.991,0.9718,0.0206,-0.1448,5.186,6.973,32.672,1384.427,553.771
2025-02-28 17:44:51.014	,8.021,0.9718,0.0208,-0.1450,5.199,6.969,31.367,1397.282,558.913
2025-02-28 18:14:51.014	,8.005,0.9718,0.0220,-0.1459,5.231,6.963,27.773,1393.888,557.555
2025-02-28 18:44:51.014	,8.075,0.9718,0.0213,-0.1440,5.249,6.929,27.242,1383.967,553.587
2025-02-28 19:14:51.014	,8.011,0.9718,0.0241,-0.1432,5.286,6.927,26.482,1402.182,560.873
2025-02-28 19:44:51.014	,7.931,0.9718,0.0250,-0.1427,5.273,6.904,25.690,1409.546,563.818
2025-02-28 20:14:51.014	,7.973,0.9718,0.0256,-0.1420,5.327,6.892,20.623,1398.722,559.489
2025-02-28 20:44:51.014	,7.950,0.9718,0.0247,,5.355,6.896,27.730,1404.267,561.707
2025-02-28 21:14:51.014	,7.962,0.9718,,-0.1425,5.321,6.891,26.946,1397.511,559.004
2025-02-28 21:44:51.014	,8.036,0.9718,0.0250,-0.1422,5.295,6.897,31.992,1401.560,560.624
2025-02-28 22:14:51.014	,7.922,0.9718,0.0260,-0.1425,5.310,6.905,35.756,1414.938,565.975
2025-03-01 09:19:27.045	,7.999,0.9718,0.0149,-0.1481,5.217,6.881,72.013,1394.632,557.853
2025-03-01 09:49:27.045	,8.020,0.9718,0.0147,-0.1471,5.214,6.904,65.103,1391.474,556.589
2025-03-01 10:19:27.045	,7.966,0.9718,0.0180,-0.1452,5.215,6.913,61.576,1400.034,560.013
2025-03-01 10:49:27.045	,7.993,0.9718,0.0187,-0.1454,5.253,6.921,63.931,1391.037,556.415
2025-03-01 11:19:27.045	,8.033,0.9718,0.0233,-0.1428,5.258,6.919,46.057,1392.338,556.935
2025-03-01 11:49:27.045	,8.053,0.9718,0.0246,-0.1415,5.243,6.909,41.599,1392.607,557.043
2025-03-01 12:19:27.045	,8.012,0.9718,0.0260,-0.1403,5.260,6.928,40.764,1380.363,552.145
2025-03-01 12:49:27.045	,8.025,0.9718,0.0294,-0.1386,5.051,6.933,40.627,1400.392,560.157
2025-03-01 13:19:27.045	,8.027,0.9718,0.0328,-0.1366,5.083,6.911,36.268,1389.436,555.774
